"Dataset","ID","CancerType","Sample"
"TCGA","TCGA-ACC","ACC",79
"TCGA","TCGA-BLCA","BLCA",403
"TCGA","TCGA-BRCA","BRCA",1081
"TCGA","TCGA-CESC","CESC",296
"TCGA","TCGA-CHOL","CHOL",35
"TCGA","TCGA-COAD","COAD",455
"TCGA","TCGA-DLBC","DLBC",47
"TCGA","TCGA-ESCA","ESCA",173
"TCGA","TCGA-GBM","GBM",146
"TCGA","TCGA-HNSC","HNSC",515
"TCGA","TCGA-KICH","KICH",66
"TCGA","TCGA-KIRC","KIRC",529
"TCGA","TCGA-KIRP","KIRP",289
"TCGA","TCGA-LAML","LAML",151
"TCGA","TCGA-LGG","LGG",505
"TCGA","TCGA-LIHC","LIHC",369
"TCGA","TCGA-LUAD","LUAD",513
"TCGA","TCGA-LUSC","LUSC",496
"TCGA","TCGA-MESO","MESO",82
"TCGA","TCGA-OV","OV",401
"TCGA","TCGA-PAAD","PAAD",178
"TCGA","TCGA-PCPG","PCPG",176
"TCGA","TCGA-PRAD","PRAD",483
"TCGA","TCGA-READ","READ",163
"TCGA","TCGA-SARC","SARC",258
"TCGA","TCGA-SKCM","SKCM",103
"TCGA","TCGA-STAD","STAD",410
"TCGA","TCGA-TGCT","TGCT",149
"TCGA","TCGA-THCA","THCA",500
"TCGA","TCGA-THYM","THYM",120
"TCGA","TCGA-UCEC","UCEC",539
"TCGA","TCGA-UCS","UCS",57
"TCGA","TCGA-UVM","UVM",77
"TCGA","TCGA-Pan-Cancer","Pan-Cancer",9624
"Immunotherapy","EGAD00001003977","BLCA",348
"Immunotherapy","EGAD00001004183","KIRC",263
"Immunotherapy","EGAD00001006282","SKCM",54
"Immunotherapy","EGAD00001006619","KIRC",823
"Immunotherapy","EGAD00001007575","BLCA",728
"Immunotherapy","EGAD00001008548","NSCLC",192
"Immunotherapy","EGAD00001008549","NSCLC",699
"Immunotherapy","HRA000524","SKCM",59
"Immunotherapy","PHS000452_CTLA4","SKCM",42
"Immunotherapy","PHS000452_PD1","SKCM",122
"Immunotherapy","PHS001038","SKCM",20
"Immunotherapy","PHS001427","SKCM",20
"Immunotherapy","PHS001493","KIRC",33
"Immunotherapy","PHS001919","SKCM",60
"Immunotherapy","PHS002176","SCLC",46
"Immunotherapy","PHS003284","SARC",64
"Immunotherapy","PHS003316","BRCA",10
"Immunotherapy","PRJEB23709","SKCM",90
"Immunotherapy","PRJEB25780","STAD",45
"Immunotherapy","PRJNA312948","SKCM",28
"Immunotherapy","PRJNA356761","SKCM",101
"Immunotherapy","PRJNA476140","SKCM",37
"Immunotherapy","PRJNA744780","HNSC",23
"Immunotherapy","PRJNA940989","SGC",45
"Immunotherapy","PRJNA498500","GBM",28
"Immunotherapy","PRJNA923698","SKCM",88
"Immunotherapy","PRJNA482620","GBM",34
"Immunotherapy","PHS001464","NSCLC",19
"Immunotherapy","PRJNA795330","Pan-Cancer",526
"Cancercohort","GSE10927","ACC",55
"Cancercohort","GSE12368","ACC",28
"Cancercohort","GSE143383","ACC",57
"Cancercohort","GSE19750","ACC",48
"Cancercohort","GSE19775","ACC",15
"Cancercohort","GSE33371","ACC",55
"Cancercohort","GSE76019","ACC",34
"Cancercohort","GSE76021","ACC",29
"Cancercohort","GSE90713","ACC",58
"Cancercohort","GSE13507","BLCA",165
"Cancercohort","GSE154261","BLCA",73
"Cancercohort","GSE19423","BLCA",48
"Cancercohort","GSE31684","BLCA",93
"Cancercohort","GSE37815","BLCA",18
"Cancercohort","GSE39281","BLCA",94
"Cancercohort","GSE48075","BLCA",73
"Cancercohort","GSE48276","BLCA",73
"Cancercohort","GSE52219","BLCA",23
"Cancercohort","GSE69795","BLCA",38
"Cancercohort","GSE70691","BLCA",49
"Cancercohort","IMvigor210","BLCA",348
"Cancercohort","GSE11121","BRCA",200
"Cancercohort","GSE12093","BRCA",136
"Cancercohort","GSE162228","BRCA",133
"Cancercohort","GSE17705","BRCA",298
"Cancercohort","GSE20685","BRCA",327
"Cancercohort","GSE20711","BRCA",90
"Cancercohort","GSE21653","BRCA",266
"Cancercohort","GSE22219","BRCA",216
"Cancercohort","GSE25055","BRCA",310
"Cancercohort","GSE25065","BRCA",198
"Cancercohort","GSE42568","BRCA",104
"Cancercohort","GSE45255","BRCA",139
"Cancercohort","GSE48390","BRCA",81
"Cancercohort","GSE58812","BRCA",107
"Cancercohort","GSE61304","BRCA",58
"Cancercohort","GSE7390","BRCA",198
"Cancercohort","GSE88770","BRCA",117
"Cancercohort","GSE97342","BRCA",28
"Cancercohort","GSE9893","BRCA",155
"Cancercohort","GSE14404","CESC",28
"Cancercohort","GSE151666","CESC",68
"Cancercohort","GSE192897","CESC",48
"Cancercohort","GSE26511","CESC",39
"Cancercohort","GSE27469","CESC",82
"Cancercohort","GSE30155","CESC",6
"Cancercohort","GSE38964","CESC",155
"Cancercohort","GSE44001","CESC",300
"Cancercohort","GSE56303","CESC",89
"Cancercohort","GSE56363","CESC",21
"Cancercohort","GSE63514","CESC",28
"Cancercohort","GSE107102","CHOL",21
"Cancercohort","GSE107943","CHOL",30
"Cancercohort","GSE103479","CRC",155
"Cancercohort","GSE104645","CRC",193
